Seconds,R_Time,Depth,Lat,Long,Resp_Num,Sleep_Num,Stroke_Rate,Heart_Rate,heading,pitch,roll
354178,2021-04-09 11:57:46,-1.09463532873923,37.1165345910112,-122.322824415422,2,1,1.687405,83.79938,-1.17825004582606,-0.0239466632730181,-0.0675395799921429
354179,2021-04-09 11:57:47,-1.14203052046276,37.116534494219,-122.322824373549,2,1,1.687405,85.25638,-1.17161969530759,-0.0039029851797406,-0.208953708343788
354180,2021-04-09 11:57:48,-1.13796097031687,37.1165344153702,-122.322824372077,2,1,1.687405,87.05424,-1.15444916264399,-0.0172750116704222,-0.165329457104241
354181,2021-04-09 11:57:49,-1.10968405701368,37.1165343505558,-122.322824424742,2,1,1.687405,88.68419,-1.18911567865348,-0.0200455856114536,-0.206735366396983
354182,2021-04-09 11:57:50,-1.13367543292742,37.1165343014548,-122.322824542857,2,1,1.687405,89.97878,-1.17764250978109,0.011791000241064,-0.196085500902217
354183,2021-04-09 11:57:51,-1.0826672273126,37.1165342862023,-122.322824726996,2,1,1.687405,91.05386,-1.10357088725193,0.018752058095421,-0.238746922844111
354184,2021-04-09 11:57:52,-1.14817429343385,37.1165343167905,-122.322824987651,2,1,1.687405,91.96272,-1.1413310388611,-2.96737962228101e-05,-0.264970535330674
354185,2021-04-09 11:57:53,-1.11481123304872,37.1165343876952,-122.322825347522,2,1,1.687405,92.56461,-1.08694855051115,-0.0171443142056333,-0.259501483635755
354186,2021-04-09 11:57:54,-1.1226680548403,37.1165345096796,-122.32282582861,2,1,1.687405,93.26937,-1.11345761598034,-0.0351433071703331,-0.270038428771726
354187,2021-04-09 11:57:55,-1.15480772411693,37.1165345990308,-122.322826501255,2,1,1.687405,94.26456,-1.5277479393506,0.0134877519601377,-0.189589007353342
354188,2021-04-09 11:57:56,-1.16491472959855,37.1165342481219,-122.322827322446,2,1,1.687405,93.94363,-2.7150170184557,-0.263009823151915,0.17159805003754
354189,2021-04-09 11:57:57,-1.12881306882738,37.1165332760935,-122.322827761589,2,1,1.687405,95.63693,-3.02902874711148,-0.235340818994889,-0.0291940827782557
354190,2021-04-09 11:57:58,-1.09646134178773,37.1165320022823,-122.322827738525,2,1,1.687405,96.65939,3.10576207201035,-0.291122458706339,-0.175004519771644
354191,2021-04-09 11:57:59,-1.16816161525459,37.1165305484445,-122.322827297776,2,1,1.687405,97.02604,2.86174016916695,-0.232945186170417,-0.0074494406203873
354192,2021-04-09 11:58:00,-1.13175276848518,37.1165289362238,-122.322826548978,2,1,1.687405,97.74693,2.83233065074556,0.051216394751299,-0.338285024033798
354193,2021-04-09 11:58:01,-1.14101556916773,37.1165272311127,-122.322825379867,2,1,1.687405,97.3594,2.54908756468245,-0.172266845872624,0.0139086369349004
354194,2021-04-09 11:58:02,-1.08315549042542,37.1165254892875,-122.32282365384,2,1,1.687405,96.25843,1.91084326147258,0.232347681964847,-0.0141353251747772
